directory	widget	family	unified_ui_phase	shell_kind	interaction_family	interaction_storytelling	interaction_source	ash_ui_phase	ash_ui_canonical_subject	ash_ui_authoring_path	support_gap	complexity_tier	maintained_runtime	preview_policy	notes
button	button	content	1	box	click	source_driven	primary_widget	18	button	native_widget	none	low	liveview	optional_non_blocking_previews	Uses the current public `button` type directly.
text	text	content	1	box	click	target_driven	shared_trigger	18	text	native_widget	none	low	liveview	optional_non_blocking_previews	Uses the current public `text` type directly.
text_input	text_input	input	1	box	change	source_driven	primary_widget	18	input	normalized_widget	normalized_name	low	liveview	optional_non_blocking_previews	Preserves the directory name while authoring through the canonical `input` type.
box	box	layout	2	box	click	target_driven	shared_trigger	18	container	composed_native_screen	richer_fallback_rendering	medium	liveview	optional_non_blocking_previews	The box example can compose native container/card structure, but the fallback renderer needs a more intentional demo-facing presentation.
content	content	layout	2	box	click	target_driven	shared_trigger	18	fragment	composed_native_screen	richer_fallback_rendering	medium	liveview	optional_non_blocking_previews	The content example can compose from native fragment/container structure, but the fallback presentation still needs explicit review affordances.
icon	icon	content	2	box	click	target_driven	shared_trigger	18	icon	native_widget	richer_fallback_rendering	medium	liveview	optional_non_blocking_previews	`icon` is a public type today, but the shipped fallback renderer only gives it generic wrapper treatment.
image	image	content	2	box	click	target_driven	shared_trigger	18	image	native_widget	richer_fallback_rendering	medium	liveview	optional_non_blocking_previews	`image` is a public type today, but the shipped fallback renderer only gives it generic wrapper treatment.
label	label	content	2	box	click	target_driven	shared_trigger	18	label	promote_fallback_widget	public_type_admission	medium	liveview	optional_non_blocking_previews	The fallback renderer already understands `label`, but public authoring validation does not yet admit it.
link	link	content	2	box	click	target_driven	shared_trigger	18	custom:link	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Link/navigation semantics are not part of the current public Ash UI widget vocabulary.
separator	separator	content	2	box	click	target_driven	shared_trigger	18	divider	normalized_widget	normalized_name	low	liveview	optional_non_blocking_previews	Preserves the directory name while authoring through the canonical `divider` type.
spacer	spacer	content	2	box	click	target_driven	shared_trigger	18	spacer	native_widget	none	low	liveview	optional_non_blocking_previews	Uses the current public `spacer` type directly.
checkbox	checkbox	input	2	form_builder	change	source_driven	form_shell	18	checkbox	native_widget	none	low	liveview	optional_non_blocking_previews	Uses the current public `checkbox` type directly.
date_input	date_input	input	2	form_builder	change	source_driven	form_shell	18	input	specialized_input	specialized_input_runtime	low	liveview	optional_non_blocking_previews	Preserves the directory name while authoring through the canonical `input` type with date-specific props.
field	field	forms	2	form_builder	change	source_driven	form_shell	18	form_field	normalized_widget	normalized_name	low	liveview	optional_non_blocking_previews	Preserves the directory name while authoring through the canonical `form_field` type.
field_group	field_group	forms	2	form_builder	change	source_driven	form_shell	18	custom:field_group	composed_native_screen	composition_shell	medium	liveview	optional_non_blocking_previews	Field-group behavior should be built as composed native form structure rather than a detached document.
file_input	file_input	input	2	form_builder	change	source_driven	form_shell	18	input	specialized_input	specialized_input_runtime	medium	liveview	optional_non_blocking_previews	Preserves the directory name while authoring through the canonical `input` type, but upload/runtime handling needs explicit scope and constraints.
form_builder	form_builder	forms	2	form_builder	change	source_driven	form_shell	18	form_builder	promote_fallback_widget	public_type_admission	medium	liveview	optional_non_blocking_previews	The fallback renderer already understands `form_builder`, but public authoring validation does not yet admit it.
numeric_input	numeric_input	input	2	form_builder	change	source_driven	form_shell	18	input	specialized_input	specialized_input_runtime	low	liveview	optional_non_blocking_previews	Preserves the directory name while authoring through the canonical `input` type with numeric-specific props.
pick_list	pick_list	input	2	form_builder	selection	source_driven	form_shell	18	custom:pick_list	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Pick-list semantics need an explicit custom surface or a newly admitted public widget type beyond plain `select`.
radio_group	radio_group	input	2	form_builder	selection	source_driven	form_shell	18	radio	normalized_widget	richer_fallback_rendering	medium	liveview	optional_non_blocking_previews	Preserves the directory name while authoring through the canonical `radio` type, but the fallback renderer lacks dedicated radio-group markup today.
select	select	input	2	form_builder	selection	source_driven	form_shell	18	select	native_widget	none	low	liveview	optional_non_blocking_previews	Uses the current public `select` type directly.
time_input	time_input	input	2	form_builder	change	source_driven	form_shell	18	input	specialized_input	specialized_input_runtime	low	liveview	optional_non_blocking_previews	Preserves the directory name while authoring through the canonical `input` type with time-specific props.
toggle	toggle	input	2	form_builder	change	source_driven	form_shell	18	switch	normalized_widget	richer_fallback_rendering	medium	liveview	optional_non_blocking_previews	Preserves the directory name while authoring through the canonical `switch` type, but the fallback renderer lacks dedicated switch markup today.
row	row	layout	3	box	click	target_driven	shared_trigger	19	row	native_widget	none	low	liveview	optional_non_blocking_previews	Uses the current public `row` type directly.
column	column	layout	3	box	click	target_driven	shared_trigger	19	column	native_widget	none	low	liveview	optional_non_blocking_previews	Uses the current public `column` type directly.
grid	grid	layout	3	box	click	target_driven	shared_trigger	19	grid	native_widget	none	low	liveview	optional_non_blocking_previews	Uses the current public `grid` type directly.
viewport	viewport	display	4	box	focus	target_driven	shared_trigger	19	custom:viewport	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Viewport/display-system semantics need an explicit custom or newly admitted public widget surface.
scroll_bar	scroll_bar	display	4	box	focus	target_driven	shared_trigger	19	custom:scroll_bar	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Scroll-bar display semantics need an explicit custom or newly admitted public widget surface.
split_pane	split_pane	display	4	box	focus	target_driven	shared_trigger	19	custom:split_pane	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Split-pane semantics need an explicit custom or newly admitted public widget surface.
canvas	canvas	display	4	box	focus	target_driven	shared_trigger	19	custom:canvas	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Canvas-style authored surfaces need an explicit custom or newly admitted public widget surface.
overlay	overlay	overlay	4	box	open	target_driven	shared_trigger	20	custom:overlay	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Overlay semantics are not part of the current public Ash UI widget vocabulary.
dialog	dialog	overlay	4	box	open	target_driven	shared_trigger	20	custom:dialog	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Dialog semantics are not part of the current public Ash UI widget vocabulary.
alert_dialog	alert_dialog	overlay	4	box	open	target_driven	shared_trigger	20	custom:alert_dialog	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Layered alert/modal semantics are not part of the current public Ash UI widget vocabulary.
context_menu	context_menu	overlay	4	box	open	target_driven	shared_trigger	20	custom:context_menu	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Context-menu semantics are not part of the current public Ash UI widget vocabulary.
toast	toast	overlay	4	box	open	target_driven	shared_trigger	20	custom:toast	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Toast semantics are not part of the current public Ash UI widget vocabulary.
stream_widget	stream_widget	operational	4	box	command	target_driven	shared_trigger	20	screen	composed_native_screen	seeded_runtime_complexity	high	liveview	optional_non_blocking_previews	The stream widget should be built as a composed resource-authority screen from native widgets plus representative seeded runtime data.
process_monitor	process_monitor	operational	4	box	command	target_driven	shared_trigger	20	screen	composed_native_screen	seeded_runtime_complexity	high	liveview	optional_non_blocking_previews	The process monitor should be built as a composed resource-authority screen from native widgets plus representative seeded runtime data.
supervision_tree_viewer	supervision_tree_viewer	operational	4	box	command	target_driven	shared_trigger	20	screen	composed_native_screen	seeded_runtime_complexity	high	liveview	optional_non_blocking_previews	The supervision-tree viewer should be built as a composed resource-authority screen from native widgets plus representative seeded runtime data.
cluster_dashboard	cluster_dashboard	operational	4	box	command	target_driven	shared_trigger	20	screen	composed_native_screen	seeded_runtime_complexity	high	liveview	optional_non_blocking_previews	The cluster dashboard should be built as a composed resource-authority screen from native widgets plus rich seeded runtime data.
menu	menu	navigation	3	box	navigation	target_driven	shared_trigger	19	custom:menu	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Menu/navigation semantics need an explicit custom or newly admitted public widget surface.
tabs	tabs	navigation	3	box	navigation	target_driven	shared_trigger	19	custom:tabs	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Tabbed navigation semantics need an explicit custom or newly admitted public widget surface.
command_palette	command_palette	navigation	3	box	command	target_driven	shared_trigger	19	custom:command_palette	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Command-palette semantics need an explicit custom or newly admitted public widget surface.
list	list	data	3	box	selection	target_driven	shared_trigger	20	list	native_widget	richer_fallback_rendering	medium	liveview	optional_non_blocking_previews	`list` is a public type today, but the shipped fallback renderer treats it as a generic wrapper.
table	table	data	3	box	selection	target_driven	shared_trigger	20	table	native_widget	richer_fallback_rendering	medium	liveview	optional_non_blocking_previews	`table` is a public type today, but the shipped fallback renderer treats it as a generic wrapper.
tree_view	tree_view	data	3	box	selection	target_driven	shared_trigger	20	custom:tree_view	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Tree-view semantics need an explicit custom surface or a newly admitted public widget type.
markdown_viewer	markdown_viewer	data	3	box	focus	target_driven	shared_trigger	20	custom:markdown_viewer	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Markdown-viewer semantics need an explicit custom surface or a deliberately composed native review pattern.
log_viewer	log_viewer	data	3	box	focus	target_driven	shared_trigger	20	custom:log_viewer	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Log-viewer semantics need an explicit custom surface or a deliberately composed native review pattern.
status	status	feedback	3	box	click	target_driven	shared_trigger	20	badge	normalized_widget	normalized_name	low	liveview	optional_non_blocking_previews	Preserves the directory name while authoring through the canonical `badge` type for status-style signaling.
progress	progress	feedback	3	box	click	target_driven	shared_trigger	20	custom:progress	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Progress visualization needs an explicit custom or newly admitted public widget surface.
gauge	gauge	feedback	3	box	click	target_driven	shared_trigger	20	custom:gauge	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Gauge visualization needs an explicit custom or newly admitted public widget surface.
inline_feedback	inline_feedback	feedback	3	box	click	target_driven	shared_trigger	20	custom:inline_feedback	composed_native_screen	composition_shell	medium	liveview	optional_non_blocking_previews	Inline feedback can be composed from native badge/text structure, but the suite should treat it as a named review pattern rather than a stable widget type.
sparkline	sparkline	feedback	3	box	click	target_driven	shared_trigger	20	custom:sparkline	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Chart rendering needs an explicit custom or newly admitted public widget surface.
bar_chart	bar_chart	feedback	3	box	click	target_driven	shared_trigger	20	custom:bar_chart	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Chart rendering needs an explicit custom or newly admitted public widget surface.
line_chart	line_chart	feedback	3	box	click	target_driven	shared_trigger	20	custom:line_chart	custom_widget	custom_surface_until_admitted	high	liveview	optional_non_blocking_previews	Chart rendering needs an explicit custom or newly admitted public widget surface.
